Date3,DSG(monthly)
1981-09-30,15.607142857142858
1981-10-31,14.230952380952383
1981-11-30,11.345555555555556
1981-12-31,11.319047619047618
1982-01-31,12.918000000000001
1982-02-28,14.279444444444445
1982-03-31,13.314782608695653
1982-04-30,13.344761904761905
1982-05-31,12.714
1982-06-30,13.078636363636365
1982-07-31,11.863333333333333
1982-08-31,8.997272727272728
1982-09-30,8.192857142857143
1982-10-31,7.967499999999999
1982-11-30,8.346315789473685
1982-12-31,8.202727272727273
1983-01-31,8.117142857142857
1983-02-28,8.39421052631579
1983-03-31,8.659565217391306
1983-04-30,8.5135
1983-05-31,8.495714285714286
1983-06-30,9.139545454545454
1983-07-31,9.4495
1983-08-31,9.73913043478261
1983-09-30,9.361428571428572
1983-10-31,8.988
1983-11-30,9.111052631578948
1983-12-31,9.357619047619048
1984-01-31,9.263809523809524
1984-02-29,9.459473684210526
1984-03-31,9.889545454545454
1984-04-30,10.073
1984-05-31,10.223181818181818
1984-06-30,10.26047619047619
1984-07-31,10.530952380952382
1984-08-31,10.900434782608697
1984-09-30,10.795789473684211
1984-10-31,10.124545454545455
1984-11-30,8.924736842105263
1984-12-31,8.3375
1985-01-31,8.02
1985-02-28,8.557222222222222
1985-03-31,8.83
1985-04-30,8.221904761904762
1985-05-31,7.733181818181818
1985-06-30,7.18
1985-07-31,7.316363636363636
1985-08-31,7.370454545454546
1985-09-30,7.333157894736843
1985-10-31,7.40090909090909
1985-11-30,7.476315789473685
1985-12-31,7.33
1986-01-31,7.301904761904762
1986-02-28,7.290526315789474
1986-03-31,6.764
1986-04-30,6.235454545454545
1986-05-31,6.334761904761905
1986-06-30,6.396666666666666
1986-07-31,5.999545454545455
1986-08-31,5.685238095238096
1986-09-30,5.352380952380953
1986-10-31,5.323181818181818
1986-11-30,5.5
1986-12-31,5.682727272727273
1987-01-31,5.578
1987-02-28,5.751052631578947
1987-03-31,5.765909090909091
1987-04-30,5.815714285714286
1987-05-31,5.846500000000001
1987-06-30,5.854545454545455
1987-07-31,5.879090909090909
1987-08-31,6.233333333333333
1987-09-30,6.621428571428572
1987-10-31,6.350952380952381
1987-11-30,5.89
1987-12-31,5.959545454545454
1988-01-31,6.004736842105263
1988-02-29,5.842499999999999
1988-03-31,5.869999999999999
1988-04-30,6.083
1988-05-31,6.454285714285714
1988-06-30,6.66409090909091
1988-07-31,6.948
1988-08-31,7.2995652173913035
