Date3,exchangerub
1992-06-30,0.138
1992-07-31,0.168
1992-08-31,0.217
1992-09-30,0.344
1992-10-31,0.424
1992-11-30,0.415
1992-12-31,0.462
1993-01-31,0.568
1993-02-28,0.659
1993-03-31,0.7559999999999999
1993-04-30,0.893
1993-05-31,1.08
1993-06-30,1.03
1993-07-31,0.986
1993-08-31,1.065
1993-09-30,1.186
1993-10-31,1.1909999999999998
1993-11-30,1.239
1993-12-31,1.247
1994-01-31,1.821
1994-02-28,1.93
1994-03-31,1.753
1994-04-30,2.136
1994-05-31,2.242
1994-06-30,1.985
1994-07-31,2.456
1994-08-31,2.564
1994-09-30,2.596
1994-10-31,2.778
1994-11-30,2.887
1994-12-31,3.55
1995-01-31,4.004
1995-02-28,4.407
1995-03-31,4.897
1995-04-30,5.1
1995-05-31,4.995
1995-06-30,4.751
1995-07-31,4.529
1995-08-31,4.415
1995-09-30,4.46857
1995-10-31,4.50218
1995-11-30,4.537
1995-12-31,4.61605
1996-01-31,4.682
1996-02-29,4.757
1996-03-31,4.834
1996-04-30,4.9
1996-05-31,4.978
1996-06-30,5.053
1996-07-31,5.147
1996-08-31,5.28
1996-09-30,5.37
1996-10-31,5.431
1996-11-30,5.482
1996-12-31,5.5360000000000005
1997-01-31,5.601
1997-02-28,5.654
1997-03-31,5.704
1997-04-30,5.747000000000001
1997-05-31,5.77
1997-06-30,5.78
1997-07-31,5.787000000000001
1997-08-31,5.811
1997-09-30,5.846
1997-10-31,5.875
1997-11-30,5.902
1997-12-31,5.941
1998-01-31,5.9951
1998-02-28,6.0497
1998-03-31,6.0896
1998-04-30,6.1238
1998-05-31,6.1485
1998-06-30,6.1797
1998-07-31,6.2163
1998-08-31,6.7495
1998-09-30,14.5257
1998-10-31,15.9227
1998-11-30,16.47
1998-12-31,19.9904
1999-01-31,22.2876
1999-02-28,22.9021
1999-03-31,23.4788
1999-04-30,24.7419
1999-05-31,24.4552
1999-06-30,24.2856
1999-07-31,24.3048
1999-08-31,24.6965
1999-09-30,25.4704
1999-10-31,25.7135
1999-11-30,26.3028
1999-12-31,26.7996
2000-01-31,28.1891
2000-02-29,28.7276
2000-03-31,28.4581
2000-04-30,28.5924
2000-05-31,28.3108
2000-06-30,28.2432
2000-07-31,27.8496
2000-08-31,27.7356
2000-09-30,27.7981
2000-10-31,27.87
2000-11-30,27.8092
2000-12-31,27.9663
2001-01-31,28.3592
2001-02-28,28.5942
2001-03-31,28.6769
2001-04-30,28.8464
2001-05-31,29.0183
2001-06-30,29.1144
2001-07-31,29.2173
2001-08-31,29.3452
2001-09-30,29.4288
2001-10-31,29.5344
2001-11-30,29.7956
2001-12-31,30.0916
2002-01-31,30.4669
2002-02-28,30.8007
2002-03-31,31.059
2002-04-30,31.1717
2002-05-31,31.2476
2002-06-30,31.4021
2002-07-31,31.5144
2002-08-31,31.5563
2002-09-30,31.6251
2002-10-31,31.6926
2002-11-30,31.8083
2002-12-31,31.8371
2003-01-31,31.8152
2003-02-28,31.7018
2003-03-31,31.4538
2003-04-30,31.2122
2003-05-31,30.9194
2003-06-30,30.4813
